id,job_name,short_info
1,業務委託 【C++】産業用ロボットの制御ソフトウェア開発,
2,ゲーム開発におけるツール基本設計 (ゲーム開発会社) C#,職種:[ IT系（開発） ] 基本設計 詳細設計業務内容:【ゲーム開発時に利用する各種ツールの開...
3,システムエンジニア(Web)  ツールエンジニア,企業名 ゲームだけにとどまらないコンテンツ創出企業 雇用形態 正社員、派遣 業務内容 ・レベルエ...
4,システムエンジニア 【急募】ゲーム開発時に利用する各種ツールの開発,システムエンジニア 【急募】ゲーム開発時に利用する各種ツールの開発 派遣スタッフ 時給：2
5,,
                        組み込み 【東京】組み込み系SE：Qt/QML/.NET/Linux開発者＜技術コンサルティング事業部＞,,
                    ",Qt/QML、.NET、Linuxを利用した組込み系（自動車マルチメディア、スマートフォン、医療...,
6,,
                        (東証一部上場)Android、iOS、Qt/QML、.NET、Linux開発者,,
                    ",【東証一部上場】Android、iOS、Qt/QML、.NET、Linux開発者 ■担当業務：A...,
7,,
                        【システムエンジニア／福利厚生充実。大手メーカーとの案件も多数保有しています。】,,
                    ",株式会社パナＲ＆Ｄ 【関東】 東京都 【職務概要】 システム開発、webアプリケーション開発 【...,
8,,
                        新着/Android、iOS、Qt/QML、．NET、Linux開発者,,
                    ",＜＜年収＞＞450万円～599万円 ＜＜仕事内容＞＞ 『自らアグレッシブに動き、「bird’s ...,
9,,
                        （大崎）アプリケーション開発PG/SE Musicデバイス向け,,
                    ",【職種名】 （大崎）アプリケーション開発PG/SE Musicデバイス向け 【仕事内容】 Mus...,
10,,
                        PLM（PDM）製品技術SE/プロジェクトマネージャ/リーダー ,,
                    ",・CATIA他同様3次元CADの支援業務/コンサルティング・ENOVIA他同様PLM製品の支援業...,
11,,
                        組込ソフトウェア 車載組込開発業務,,
                    ",業務内容詳細 ・カーナビの要求分析、アーキテクチャ調査、仕様書作成、ドキュメントのまとめ ・BS...,
12,,
                        Linux開発者,,
                    ",Qt/QML、.NET、Linuxを利用した組込み系（自動車マルチメディア、スマートフォン、医療...,
13,,
                        Qtを使ったGUI部のアプリケ,,
                    ",[職種] IT・エンジニア （IT・エンジニアその他） [仕事内容] Qtを使ったGUI部のアプ...,
14,,
                        サウンドクリエイター(カジノ)、プログラマー(カジノ)、サウンドクリエイター(遊技機)、プログラマー(遊技機)  サウンドプログラマー：Software Development,,
                    ",企業名 株式会社アルゼゲーミングテクノロジーズ 雇用形態 契約社員、正社員 業務内容 カジノ用ゲ...,
15,,
                        【遊技機開発】プログラマー,,
                    ",アニメコンテンツに特化した遊技機の企画制作会社である同社にて、プログラマーとしてご活躍頂きます。...,
16,社内アプリケーション開発担当／【業界トップクラス】誰もが知るあのアニメーションの制作を支える仕事です！,［仕事内容］ 【職務概要】同社にて社内アプリケーションの開発プログラマーをお任せ致します。【職務...
17,(女性向け)ITエンジニア/「微」経験歓迎/フレックスタイム/リモートワークもOK,＜将来もずっと活躍し続けるエンジニアになる＞ *官公庁・大手企業・大手SIer中心の開発等 *年...
18,100％自社内開発の【プログラマー】年休120日以上定着率90％[正社員],株式会社ゼロワン | ◇2000年設立 遊技機業界のパイオニア◇大手メーカーとの取引多数◇残業月...
19,エステティシャン（痩身、フェイシャル）: 店長経験者大歓迎最新マシンを駆使した痩身エステ土日休みあり安心のノルマなし⌒,店長経験者大歓迎♪最新マシンを駆使した痩身エステ◆土日休みあり♪安心のノルマなし⌒☆ 【募集職種...
20,【プランナー】クリエイティブの世界で本気で挑戦する方募集！,会社名 株式会社Quark tokyo 企業情報 仕事内容 TVCMやデジタルキャンペーン、舞台...
21,プログラマ(オープン・WEB系),[仕事内容] Webを中心としたオープン系システム開発案件に携わっていただきます。 また中小企業...
22,PG（組み込み開発）◆自社サービス開発に携わる◆年休125日◆残業ほぼなし◆年収800万円も可,今回は、東京ガスとの新事業に携わっていただく、組み込み開発プログラマーをお任せします！現在、Bt...
23,実用的かつデザイン性の高いI/Fを実現したい方募集【フロントエンドエンジニア】 IoT・M2Mクラウドソリューション開発で自動車などの産業の進化を支える基盤...,実用的かつデザイン性の高いI/Fを実現したい方募集【フロントエンドエンジニア】 IoT・M2Mク...
24,,
                        社内アプリケーション開発担当／【業界トップクラス】誰もが知るあのアニメーションの制作を支える仕事です！,,
                    ",［仕事内容］ 【職務概要】同社にて社内アプリケーションの開発プログラマーをお任せ致します。【職務...,
25,,
                        【エンジニア各種】ゲーム開発（クライアント/フロント/サーバー）／セキュリティ／インフラ他,,
                    ",■ツール開発エンジニア ※AAAタイトル ‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐...,
26,,
                        ゲームエンジニア// Game Engineer,,
                    ",スマートフォンアプリなどの開発   正社員   400万円 ~ 800万円 キャリアレベル 中途...,
27,,
                        機械・機構・金型設計 > 機械・機構・筐体の設計開発 > 機械・機構・筐体の設計開発 PLM（PDM）製品技術SE/プロジェクトマネージャ/リーダー,,
                    ",・CATIA他同様3次元CADの支援業務/コンサルティング・ENOVIA他同様PLM製品の支援業...,
28,,
                        SE・プログラマ（WEB・スマホ系）,,
                    ",時給2400円 【!急募!】ゲーム開発時に利用する各種ツールの開発ゲーム開発会社【ゲーム開発時に...,
29,,
                        新規オリジナルタイトル立ち上げ！2Dソーシャルゲームのゲーム開発エンジニア,,
