salary,type,link,job_name
"時給2,800円〜",派遣社員,https://c.stanby.com/v2/adpage?id=1387067026868031488&hid=a89abee96264f04783ee1560c005b675f2d60af3a3b9833e23f20acf85940ab3&tm=1570371549664,出屋敷駅／【スキルUP案件】社内システム保守改変業務Linux
月給25万円〜,正社員,https://c.stanby.com/v2/adpage?id=1387067026868031489&hid=5d5c2d42fb6a571c5f4643ead43b6325cdbbfe896a039074d3069f379c78c89c&tm=1570371549664,サポートデスク・サーバー・NWエンジニア／年休120日以上
"時給1,800円〜",派遣社員,https://c.stanby.com/v2/adpage?id=1387067026868031490&hid=98778974f103d0618018eda19d182b9499c946884e708322c973ea31620cfc36&tm=1570371549664,社内サーバ運用・保守管理をご担当いただきます。
月給20万円〜40万円,正社員,https://c.stanby.com/v2/adpage?id=1387067026868031491&hid=5f72b844c5a2b2562ab8cfc84aceadc85cfe9e16701b07f089838639d8dd67df&tm=1570371549664,【ITサポート事務】☆未経験OK☆土日祝休み☆残業少なめ☆20代が活躍中♪
年収300万円〜900万円,正社員,https://job.yahoo.co.jp/company/1100016443/jobs/5b8df68ee8514fb550d382c3b9b21f332df739f5141d7e44f3fdafc20c86ae2b?keyword=LPI&l=%E5%85%B5%E5%BA%AB%E7%9C%8C&side=1,ネットワーク設計、構築
年収400万円〜700万円,正社員,https://job.yahoo.co.jp/jobs/detail/8b29f2da4a205a7292670ff8545178b2dfa5a3647805f0a57554c316fcb1c5d0?keyword=LPI&l=%E5%85%B5%E5%BA%AB%E7%9C%8C&side=1,【プライム案件多数！スキルアップできる環境！残業が少なく労働環境抜群☆】
"時給1,800円〜2,000円",派遣社員,https://job.yahoo.co.jp/jobs/detail/344879430c431315d1173b9152dbe66783a211e76ef0a8f93ff9e56f396a8aa3?keyword=LPI&l=%E5%85%B5%E5%BA%AB%E7%9C%8C&side=1,【サーバ運用保守】大手メーカー内でのお仕事IT・CAD・クリエイティブ／ネットワークエンジニア
"時給1,400円〜2,400円",業務委託,https://job.yahoo.co.jp/jobs/detail/02dd2f7e806c3d3ea4c2af13caf6e911f6db4971b9e6b36eeb5f2e626147bf78?keyword=LPI&l=%E5%85%B5%E5%BA%AB%E7%9C%8C&side=1,プログラム/インフラのスキルを活かしたい!インストラクター講師プログラミング・NWの専門スキルを活かせます！曜日・時間応相談。無理なく働けます
"時給1,800円〜2,000円",派遣社員,https://job.yahoo.co.jp/jobs/detail/7de2613c77562cc159ce3809e84c0d78612e2d6168861e28ae546d924c938e1a?keyword=LPI&l=%E5%85%B5%E5%BA%AB%E7%9C%8C&side=1,サーバ運用保守！大手メーカー内でのお仕事
"時給2,800円〜",派遣社員,https://job.yahoo.co.jp/jobs/detail/731f122212f0aa382d6cc1718fee1984a0cafb9a76d3053e9b8f0f8e9ba2ed15?keyword=LPI&l=%E5%85%B5%E5%BA%AB%E7%9C%8C&side=1,運用管理・保守スタッフ
